management,subscriber_id,md_id,date,gas_consumption,source,month,year,season,heating_season,month_name
г.Амвросиевка,101000007155,1754320,2020-01-01,1672,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000005463,2692947,2020-01-01,1230,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000009256,1759992,2020-01-01,38100,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000012423,1739502,2020-01-01,36310,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000005462,1752652,2020-01-01,6537,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000009252,1759982,2020-01-01,39191,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000010169,1735202,2020-01-01,20490,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000001272,1739754,2020-01-01,64235,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000010464,2830549,2020-01-01,2114,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000006041,2781236,2020-01-01,734,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000003350,1746758,2020-01-01,25629,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000009249,1759968,2020-01-01,6012,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000003878,1748582,2020-01-01,25419,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000004409,1750398,2020-01-01,9113,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000004410,1750404,2020-01-01,12530,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000008590,1758234,2020-01-01,84441,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000000543,1752616,2020-01-01,79244,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000002047,1742388,2020-01-01,38896,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000008589,1758230,2020-01-01,12208,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000006042,2842172,2020-01-01,121,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000003220,1746326,2020-01-01,64982,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000008585,3466491,2020-01-01,9903,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000006043,1753068,2020-01-01,11612,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000006044,2787254,2020-01-01,981,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000005464,2692928,2020-01-01,1947,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000001273,1739756,2020-01-01,45094,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000002048,1742394,2020-01-01,25260,по квитанции,1,2020,winter,1,January
г.Амвросиевка,101000002895,1745208,2020-01-01,20840,контрольное снятие,1,2020,winter,1,January
